#          k1           k2           k3            1           b1           b2           b4       b1*b11        b1*b1        b1*b2        b1*b4     b1*b1*b1     b1*b1*b2     b1*b1*b4        b8*b8
         0.11        0.135        0.045  5.97287e+06  6.20554e+07  3.66697e+07  4.35445e+07  9.00343e+06  1.92376e+08  2.67955e+08  3.25789e+08  2.41683e+08  5.28462e+08  6.42524e+08      69272.1
         0.11        0.135        0.065  2.38172e+06  3.97704e+07  2.46384e+07  3.00858e+07  7.65998e+06  1.65779e+08  2.03446e+08  2.57139e+08  2.41298e+08  4.01238e+08   5.0713e+08      69272.1
         0.11        0.135        0.085  1.19982e+06  2.85792e+07   1.8317e+07  2.26586e+07  6.49485e+06  1.40575e+08  1.55474e+08    1.976e+08  2.16014e+08  3.06627e+08  3.89708e+08      69272.1
         0.11        0.135        0.105       669398  2.11618e+07  1.37149e+07  1.71665e+07  5.54321e+06  1.14191e+08   1.1737e+08  1.48971e+08   1.7862e+08  2.31478e+08  2.93801e+08      69272.1
         0.11        0.135        0.125       528243  1.90365e+07  1.18594e+07  1.49927e+07  5.20203e+06  1.04748e+08  1.03324e+08  1.31536e+08  1.61866e+08  2.03777e+08  2.59417e+08      69272.1
         0.13        0.065        0.065  8.31165e+06  6.19208e+07  1.03773e+08  1.03773e+08   9.9797e+06  1.44209e+08  4.54802e+08  4.54802e+08  9.59196e+07  8.96963e+08  8.96963e+08      69272.1
         0.13        0.085        0.045         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan      69272.1
         0.13        0.085        0.065  8.67589e+06  7.96783e+07  4.61291e+07  5.30462e+07  8.81457e+06  2.19058e+08  3.02892e+08  3.55697e+08  2.60307e+08  5.97365e+08  7.01507e+08      69272.1
         0.13        0.085        0.085  3.38583e+06  5.04109e+07  2.86697e+07  3.44443e+07  7.64944e+06  1.95407e+08  2.22676e+08  2.76465e+08  2.78593e+08  4.39164e+08  5.45246e+08      69272.1
         0.13        0.105        0.025   2.7441e+07  1.51637e+08  1.23803e+08  1.23803e+08  1.28164e+07  3.02987e+08  5.42591e+08  5.42591e+08  2.43368e+08   1.0701e+09   1.0701e+09      69272.1
         0.13        0.105        0.045  6.28321e+06  6.62283e+07  3.92471e+07  4.65393e+07  9.20638e+06  2.07052e+08  2.85925e+08  3.47393e+08   2.6267e+08  5.63903e+08   6.8513e+08      69272.1
         0.13        0.105        0.065  2.49912e+06    4.264e+07  2.64481e+07  3.22694e+07  7.86293e+06  1.79664e+08  2.17612e+08  2.74751e+08  2.63092e+08  4.29176e+08  5.41865e+08      69272.1
         0.13        0.105        0.085  1.25347e+06   3.0726e+07  1.96689e+07  2.43528e+07  6.69779e+06  1.52798e+08  1.66743e+08  2.11751e+08  2.35414e+08  3.28852e+08  4.17616e+08      69272.1
