#          k1           k2           k3            1           b1           b2           b4       b1*b11        b1*b1        b1*b2        b1*b4     b1*b1*b1     b1*b1*b2     b1*b1*b4        b8*b8
     0.059539     0.070261     0.091757   1.2964e+06   2.6064e+07  1.29479e+07  1.59986e+07  5.22321e+06  1.18947e+08  1.26206e+08  1.60558e+08  1.82471e+08  2.85783e+08  3.63293e+08      48176.7
     0.059539     0.070261     0.102501  2.27779e+06  2.86401e+07  1.28125e+07  1.54326e+07  4.99493e+06  9.79206e+07  1.14964e+08  1.43118e+08  1.27208e+08  2.60669e+08  3.24205e+08      48176.7
     0.059539     0.070261      0.11325  3.85703e+06  3.26127e+07  1.51579e+07  1.75421e+07  4.88572e+06  8.23911e+07   1.1451e+08  1.34926e+08  8.10971e+07  2.59809e+08   3.0551e+08      48176.7
     0.059539        0.081        0.081       564279  2.09639e+07  1.22613e+07  1.55363e+07  5.17778e+06  1.24604e+08  1.25091e+08  1.60434e+08  2.15021e+08  2.83155e+08   3.6262e+08      48176.7
     0.059539        0.081     0.091757       696034  1.96632e+07  1.03175e+07  1.29747e+07  4.80913e+06  1.03925e+08  1.05318e+08  1.35394e+08   1.6951e+08  2.38107e+08  3.05832e+08      48176.7
     0.059539        0.081     0.102501  1.12973e+06  2.04878e+07   9.5055e+06  1.17379e+07  4.58085e+06  8.76356e+07  9.36918e+07    1.196e+08  1.29537e+08  2.12167e+08  2.70663e+08      48176.7
     0.059539        0.081      0.11325   1.9402e+06   2.3089e+07  1.02054e+07  1.22638e+07  4.47165e+06  7.62836e+07  9.04127e+07  1.12093e+08  9.72546e+07  2.05004e+08  2.53841e+08      48176.7
     0.059539        0.081     0.124006  3.10162e+06  2.57607e+07  1.25245e+07  1.44222e+07  4.40327e+06  6.52795e+07  9.23273e+07  1.07991e+08  6.54994e+07  2.08469e+08  2.43329e+08      48176.7
     0.059539     0.091757     0.091757       476627  1.56647e+07   8.3095e+06  1.05287e+07  4.44049e+06  8.76797e+07  8.71537e+07  1.12767e+08  1.46737e+08  1.96991e+08  2.54681e+08      48176.7
     0.059539     0.091757     0.102501       588444  1.50879e+07  7.25105e+06  9.13148e+06  4.21221e+06  7.56606e+07  7.60722e+07   9.8505e+07  1.20112e+08  1.72326e+08  2.23004e+08      48176.7
     0.059539     0.091757      0.11325       951883  1.63227e+07   7.2494e+06  8.95144e+06  4.10301e+06  6.77429e+07  7.17622e+07  9.16482e+07  9.89532e+07  1.62881e+08  2.07848e+08      48176.7
     0.059539     0.091757     0.124006   1.5821e+06  1.83561e+07  8.15904e+06  9.78326e+06  4.03463e+06  6.05354e+07  7.11113e+07  8.77291e+07   7.8039e+07  1.61012e+08  1.98371e+08      48176.7
     0.059539     0.091757     0.134761  2.33719e+06  1.93103e+07  9.86877e+06   1.1331e+07  3.94984e+06   4.9777e+07  7.15198e+07   8.3245e+07  5.14541e+07  1.60652e+08  1.86636e+08      48176.7
     0.059539     0.102501     0.102501       416773  1.24504e+07  6.00013e+06  7.62553e+06  3.98394e+06  6.64774e+07  6.53086e+07  8.52484e+07  1.08742e+08   1.4833e+08  1.93493e+08      48176.7
     0.059539     0.102501      0.11325       524593  1.26067e+07  5.63669e+06  7.11277e+06  3.87473e+06  6.10504e+07  6.05726e+07  7.88458e+07  9.54771e+07  1.37901e+08  1.79374e+08      48176.7
     0.059539     0.102501     0.124006       833530  1.37754e+07  5.91544e+06  7.31204e+06  3.80635e+06  5.62262e+07  5.87546e+07  7.50669e+07  8.17458e+07  1.33597e+08  1.70538e+08      48176.7
     0.059539     0.102501     0.134761  1.31562e+06  1.48978e+07  6.60314e+06  7.92724e+06  3.72156e+06  4.88086e+07  5.73368e+07  7.06493e+07  6.26922e+07  1.29676e+08  1.59589e+08      48176.7
